Subject,Start Date,End Date,Description,Location,HighAttendanceFlag
第8回目指せ！神宮2025「2Days in kushiro」,2025-04-19,2025-04-20,"全道 スポーツ
北海道軟式野球連盟
北海道軟式野球連盟
電話：011-820-1760
参集人員: 最新: 180人","ウィンドヒルひがし北海道スタジアム
他",No
釧路ひぶなアッセンブルカップ41 ジュニアテニス大会,2025-04-19,2025-04-20,"全道 スポーツ
釧路ひぶなテニスクラブ
釧路ひぶなテニスクラブ：Assemble Tennis
Academy
電話：090-8631-7636
参集人員: 最新: 70人",市民テニスコート,No
タイ へき地・小規模校教育事情視察旅行,2025-04-21,2025-04-28,"国際 会議・研修
北海道教育大学釧路校
北海道教育大学釧路校
電話：011-778-0897
参集人員: 最新: 10人",北海道教育大学釧路校,No
"明治安田プレゼンツI AM Sport Japan Cup 第4回北海道小学生バ
レーボールフェスティバル",2025-04-26,2025-04-27,"全道 スポーツ
NPO法人北海道バレーボールアカデミー
NPO法人北海道バレーボールアカデミー
電話：090-2052-8778
参集人員: 最新: 1400人",ウインドヒルくしろスーパーアリーナ,Yes
令和7年度 ソフトバレーブロックフェスティバル釧路大会,2025-06-08,,"全道 スポーツ
北海道ソフトバレーボール連盟
釧路ソフトバレーボール連盟
電話：0154-25-6156
参集人員: 最新: 150人",ウィンドヒルくしろスーパーアリーナ,No
"2025年度第55回全道自治体職員サッカー選手権大会兼第51回全
国自治体職員サッカー選手権大会北海道予選",2025-06-14,2025-06-16,"全道 スポーツ
（公財）北海道サッカー協会 他
（公財）北海道サッカー協会
電話：011-825-1100
参集人員: 最新: 350人",釧路市民陸上競技場 他,No
MFJ公認 全道モトクロス選手権第2戦釧路大会,2025-06-29,,"全道 スポーツ
釧路モトクロス協会
釧路モトクロス協会
電話：090-8900-5603
参集人員: 最新: 130人",釧路市高山モトクロスコース,No
全国市長会 国立公園関係都市協議会,2025-07-02,2025-07-03,"全国 会議・研修
国立公園関係都市協議会事務局
全国市長会社会文教部
電話：03-3262-2318
参集人員: 最新: 50人",あかん遊久の里鶴雅,No
第61回北海道地区国立工業高等専門学校体育大会,2025-07-05,2025-07-06,"全道 スポーツ
釧路工業高等専門学校
釧路工業高等専門学校 学生課学生支援係
電話：0154-57-7221
参集人員: 最新: 400人","ウインドヒルくしろスーパーアリーナ
（バドミントン）、
釧路市民テニスコート（テニス）",No
令和7年度スマイルヘルスカップ,2025-07-06,,"全道 スポーツ
スマイルヘルスカップ実行委員会
釧路テニス協会
電話：090-8426-5636
参集人員: 最新: 120人",市民テニスコート,No
台湾 へき地・小規模校教育事情視察旅行,2025-07-06,2025-07-12,"国際 会議・研修
北海道教育大学釧路校
北海道教育大学釧路校
電話：011-778-0897
参集人員: 最新: 30人",北海道教育大学釧路校,No
北海道選手権大会兼南部忠平記念陸上大会,2025-07-12,2025-07-13,"全道 スポーツ
一般社団法人北海道陸上競技協会
公益財団法人北海道スポーツ協会
釧路地方陸上競技協会 弓場 由紀子
電話：090-9758-4551
参集人員: 最新: 1200人",釧路市民陸上競技場,Yes
"2025年度第50回全道0-40サッカー大会兼JFA第13回全日本0-40
サッカー大会北海道予選",2025-07-19,2025-07-21,"全道 スポーツ
（公財）北海道サッカー協会 他
（公財）北海道サッカー協会
電話：011-825-1100
参集人員: 最新: 440人",釧路市民陸上競技場 他,No
第53回釧路湿原マラソン,2025-07-27,,"全国 スポーツ
釧路市、釧路市教育委員会、釧路市スポーツ協会、
釧路地方陸上競技協会、北海道新聞社、道新ス
ポーツ、（一財）スポーツ振興財団
釧路湿原マラソン実行委員会
電話：0154-31-1230
参集人員: 最新: 3000人",釧路市民陸上競技場,Yes
釧路ひぶなアッセンブルカップ42 ジュニアテニス大会,2025-08-09,2025-08-10,"全国 スポーツ
釧路ひぶなテニスクラブ
釧路ひぶなテニスクラブ：Assemble Tennis
Academy
電話：090-8631-7636
参集人員: 最新: 70人",市民テニスコート,No
"第51回北海道クラブ対抗選手権大会 兼 第54回全日本クラブ対
抗選手権大会北海道予選会",2025-08-10,,"全道 スポーツ
北海道ボウリング連盟
北海道ボウリング連盟
電話：0154-91-0107
参集人員: 最新: 80人",釧路パレスボウル,No
"令和7年度第49回北海道体育大会ハンドボール協議会兼第78回国
民スポーツ大会ハンドボール競技北海道予選会
国民スポーツ大会北海道ブロック予選会",2025-08-15,2025-08-17,"全道 スポーツ
〈公財〉日本スポーツ協会
〈公財〉北海道スポーツ協会 北海道ハンドボール協
会
釧路ハンドボール協会
電話：0154-43-3131
参集人員: 最新: 500人",ウインドヒルくしろスーパーアリーナ,No
第32回北海道ブロックバウンドテニス親善交流大会,2025-08-24,,"全道 スポーツ
公益財団法人日本バウンドテニス協会
釧路バウンドテニス協会事務局
参集人員: 最新: 72人",ウィンドヒルくしろスーパーアリーナ,No
2025年度北海道卓球選手権大会カデットの部兼全日本予選会,2025-08-30,,"全道 スポーツ
北海道観光連盟
釧路卓球協会 守田 和央
電話：090-1309-6159
参集人員: 最新: 1370人",ウィンドヒルくしろスーパーアリーナ,Yes
全道定期報告連絡会議及び全道建築防災・維持保全連絡会議,2025-08-25,,"全道 会議・研修
北海道 建設部住宅局 建築指導課 建築防災係
北海道 建設部住宅局 建築指導課 建築防災係
電話：011-231-4111
参集人員: 最新: 70人
※仮日付（上旬=5日、中旬=15日、下旬=25日で設定）",釧路市観光国際交流センター,No
全道ボルダリングキッズコンペ,2025年8月（予定）,,"全道 スポーツ
全道ボルダリングキッズコンペ実行委員会
Ｄボルダリング釧路
電話：0154-64-6959
参集人員: 最新: 80人",Dボルダリング釧路,No
MFJ公認 全道モトクロス選手権第5戦釧路大会,2025-08-31,,"全道 スポーツ
釧路モトクロス協会
釧路モトクロス協会
電話：090-8900-5603
参集人員: 最新: 130人",釧路市高山モトクロスコース,No
第21回 KUSHIROソフトバレーボール北海道大会,2025-09-07,,"全道 スポーツ
北海道ソフトバレーボール連盟
釧路ソフトバレーボール連盟
電話：0154-25-6156
参集人員: 最新: 180人",ウィンドヒルくしろスーパーアリーナ,No
第44回全日本ジュニアバドミントン選手権大会,2025-09-12,2025-09-15,"全国 スポーツ
公益財団法人日本バドミントン協会
釧根地区バドミントン協会
電話：090-1647-5483
参集人員: 最新: 620人",ウインドヒルくしろスーパーアリーナ,No
第57回全道自治体職員等野球選手権全道優勝大会,2025-09-13,2025-09-15,"全道 スポーツ
自治労北海道本部
自治労北海道本部
電話：011-747-3211
参集人員: 最新: 650人","釧路市民球場、釧路市民球場付属
球場、阿寒町野球場、厚岸町・宮園
公園野球場",No
第67回 精神保健北海道大会,2025-09-13,,"全道 総会・大会
北海道精神保健協会、釧路地方精神保健協会
北海道精神保健大会事務局
電話：0154-65-5824
参集人員: 最新: 200人",釧路市民文化会館 小ホール,No
第18回なごやか亭杯 くしろオープン,2025-09-27,,"全道 スポーツ
釧路卓球協会
釧路卓球協会 守田 和央
電話：090-1309-6159
参集人員: 最新: 500人",ウィンドヒルくしろスーパーアリーナ,No
日本港湾振興団体連合会第59回通常総会（全国大会）,2025年9月末,,"全国 総会・大会
釧路港湾振興会
三ッ輪運輸株式会社 総務課
電話：0154-54-3501
参集人員: 最新: 80人",釧路市観光国際交流センター,No
令和7年度 交通安全指導員 道東ブロック研修会,2025-10-02,,"地区 総会・大会
北海道交通安全指導員連絡協議会
釧路市交通安全指導員会（事務局：市民生活課）
電話：0154-31-4590
参集人員: 最新: 300人",釧路プリンスホテル,No
第34回 北海道生活科・総合的な学習教育研究大会釧路大会,2025-10-03,2025-10-04,"全道 学会
北海道生活科・総合的な学習教育連盟
釧路生活科・総合的な学習教育研究会（白糠町立
庶路学園）
電話：01547-5-8255
参集人員: 最新: 120人","釧路市生涯学習センターまなぼっと
幣舞、釧路町立別保小学校、厚岸
町立真龍小学校、北海道教育大学
附属釧路義務教育学校前期課程",No
日本環境教育学会 第36回年次大会,2025-10-10,2025-10-12,"全国 学会
一般社団法人日本環境教育学会
一般社団法人日本環境教育学会
電話：042-311-3355
参集人員: 最新: 200人",北海道教育大学釧路校,No
